Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr bis 50 - 100 €,Höhe der Gebühr bis > 100 €,Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung,Widerspruchsgebühren erhoben,Eingang Klagen,Klageerledigungen in 2020,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung
BK Amt,305,292,39,26,74,153,28,19,3,6,7,9,0,3,6,0,8,1,4,0,0,2,2
BK Amt GB,30,30,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Amt Gesamt,335,322,39,26,84,173,28,19,3,6,7,9,0,3,6,0,8,1,4,0,0,2,2
BMAS,60,53,17,5,12,19,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0
BMAS GB,1229,1207,1036,34,32,105,9,4,3,2,18,17,2,2,12,1,8,8,3,0,0,1,2
BMAS Gesamt,1289,1260,1053,39,44,124,9,4,3,2,19,19,2,2,13,2,9,8,3,0,0,1,2
AA,533,517,100,64,36,317,85,64,14,7,18,9,3,0,6,0,6,1,3,0,0,0,3
AA GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Gesamt,533,517,100,64,36,317,85,64,14,7,18,9,3,0,6,0,6,1,3,0,0,0,3
BMI,420,404,139,22,56,187,13,0,2,11,11,9,1,0,8,0,8,2,0,0,0,0,0
Gesamt,772,737,349,68,123,197,5,3,2,0,17,14,1,2,9,2,4,9,3,0,0,1,2
BMI Gesamt,1192,1141,488,90,179,384,18,3,4,11,28,23,2,2,17,2,12,11,3,0,0,1,2
BMJV,188,190,42,25,12,111,11,2,4,5,3,3,0,0,3,0,2,4,4,0,0,2,2
BMJV GB,341,322,240,11,17,54,3,2,0,1,7,5,0,1,4,0,5,2,3,0,0,2,1
BMJV Gesamt,529,512,282,36,29,165,14,4,4,6,10,8,0,1,7,0,7,6,7,0,0,4,3
BMF,182,185,28,15,57,85,8,2,0,6,17,8,1,1,6,0,7,1,0,0,0,0,0
BMF GB,3763,3542,2916,39,85,502,914,374,280,260,27,26,3,3,14,6,8,7,102,0,0,99,3
BMF Gesamt,3945,3727,2944,54,142,587,922,376,280,266,44,34,4,4,20,6,15,8,102,0,0,99,3
BMWi,210,196,49,22,33,92,18,5,6,7,3,3,0,0,2,1,2,1,3,2,1,0,0
BMWi GB,957,918,331,56,105,426,6,4,2,0,20,17,1,6,2,8,2,9,8,0,7,1,0
BMWi Gesamt,1167,1114,380,78,138,518,24,9,8,7,23,20,1,6,4,9,4,10,11,2,8,1,0
BMEL,131,130,33,22,42,33,8,0,1,7,7,5,1,1,3,0,1,2,0,0,0,0,0
BMEL GB,45339,81,26,29,10,16,10,6,2,2,7,2,0,0,2,0,1,0,0,0,0,0,0
BMEL Gesamt,45470,211,59,51,52,49,18,6,3,9,14,7,1,1,5,0,2,2,0,0,0,0,0
BMVg,254,254,112,28,24,90,2,2,0,0,3,2,0,0,1,1,1,0,0,0,0,0,0
BMVg GB,53,54,30,5,10,9,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0
BMVg Gesamt,307,308,142,33,34,99,3,2,0,1,4,4,1,0,1,2,1,0,0,0,0,0,0
BMFSFJ,85,85,18,19,33,15,2,0,2,0,9,6,1,1,4,0,0,1,0,0,0,0,0
BMFSFJ GB,22,22,17,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMFSFJ Gesamt,107,107,35,19,35,18,3,0,3,0,9,6,1,1,4,0,0,1,0,0,0,0,0
BMG,118,101,47,6,11,37,5,2,0,3,3,2,1,0,1,0,1,0,0,0,0,0,0
BMG GB,135,118,54,25,14,25,21,3,3,15,2,1,0,1,0,0,1,1,1,0,0,1,0
BMG Gesamt,253,219,101,31,25,62,26,5,3,18,5,3,1,1,1,0,2,1,1,0,0,1,0
BMVI,73,58,17,12,26,3,2,,1,1,19,13,1,1,9,2,6,1,1,0,1,0,0
BMVI GB,630,298,134,24,70,70,13,1,1,11,25,10,4,1,5,0,3,3,2,0,1,1,0
BMVI Gesamt,703,356,151,36,96,73,15,1,2,12,44,23,5,2,14,2,9,4,3,0,2,1,0
BMU,59,57,39,10,2,6,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0
BMU GB,75,73,47,6,17,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
BMU Gesamt,134,130,86,16,19,9,0,0,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0
BMBF,134,135,66,17,6,46,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BMBF GB,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF Gesamt,135,136,67,17,6,46,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BKM,37,36,12,10,1,13,4,1,0,3,1,1,0,0,1,0,1,1,0,0,0,0,0
BKM GB,11,10,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Gesamt,48,46,16,14,2,14,4,1,0,3,1,1,0,0,1,0,1,1,0,0,0,0,0
BMZ,81,73,21,8,13,31,4,2,0,2,2,,0,0,0,0,0,0,0,0,0,0,0
BPA,,,,,,,,,,,,,,,,,,,,,,,
BPrA,68,65,26,12,10,17,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,0
BT,290,278,51,26,102,99,2,1,0,1,11,9,0,0,7,2,6,1,0,0,0,0,0
BR,19,14,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBk,28,23,10,2,9,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
BVerfG,26,25,5,3,17,0,1,0,1,0,3,2,0,1,1,0,2,1,0,0,0,0,0
BfDI,231,233,56,57,62,58,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
BRH,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
