"Ressort","Eingang Erstanträge","Erledigungen und Bescheide","Informationszugang gewährt","Informationszugang teilweise gewährt","Informationszugang abgelehnt","sonstige Erledigung","Gebühr erhoben","Höhe der Gebühr (unter 50 )","Höhe der Gebühr (50 - 100 )","Höhe der Gebühr (> 100 )","Eingang Widersprüche","Erledigungen und Widerspruchsbescheide","Abhilfe","Teilweise Abhilfe","Zurückweisung","sonstige Erledigung.1","W- Gebühren erhoben (> 30 )","Eingang Klagen ","Klageerledigungen ","Stattgabe","Teilweise Stattgabe","Abweisung","sonstige Erledigung.2"
"BK Amt",276,267,18,20,19,210,20,14,1,5,13,10,1,0,8,1,7,9,6,0,0,1,5
"BK Amt GB",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BK Amt Gesamt",278,269,18,20,21,210,20,14,1,5,13,10,1,0,8,1,7,9,6,0,0,1,5
"BMAS",124,127,32,10,6,79,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"BMAS GB",1188,1200,1079,29,46,46,22,7,5,10,26,17,6,1,9,1,8,6,4,0,0,0,4
"BMAS Gesamt",1312,1327,1111,39,52,125,24,7,7,10,26,18,6,1,10,1,8,7,4,0,0,0,4
"AA  *1",341,283,98,25,23,137,48,39,7,2,9,8,0,3,4,1,6,0,5,0,0,2,3
"AA GB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA Gesamt",341,283,98,25,23,137,48,39,7,2,9,8,0,3,4,1,6,0,5,0,0,2,3
"BMI",580,591,113,16,29,433,12,1,1,10,8,9,0,2,5,2,5,2,3,0,1,1,1
"BMI GB",329,310,141,31,67,71,11,8,2,1,13,13,1,0,6,6,3,2,2,0,0,1,1
"BMI Gesamt",909,901,254,47,96,504,23,9,3,11,21,22,1,2,11,8,8,4,5,0,1,2,2
"BMJV",418,414,36,20,6,352,4,1,0,3,11,7,0,0,7,0,3,3,1,0,0,1,0
"BMJV GB",90,93,43,18,10,22,12,6,3,3,4,5,1,0,4,0,4,1,0,0,0,0,0
"BMJV Gesamt",508,507,79,38,16,374,16,7,3,6,15,12,1,0,11,0,7,4,1,0,0,1,0
"BMF",383,362,39,22,40,261,4,0,1,3,3,5,0,1,4,0,2,0,1,0,0,0,1
"BMF GB",3591,3406,2750,30,86,540,771,358,218,195,26,20,1,1,11,7,7,5,97,0,0,69,28
"BMF Gesamt",3974,3768,2789,52,126,801,775,358,219,198,29,25,1,2,15,7,9,5,98,0,0,69,29
"BMWi",244,223,60,10,19,134,11,2,5,4,4,3,0,2,1,0,0,3,3,0,2,1,0
"BMWi GB",694,681,381,97,88,115,40,18,6,16,11,7,2,0,5,0,5,9,6,1,0,1,4
"BMWi Gesamt",938,904,441,107,107,249,51,20,11,20,15,10,2,2,6,0,5,12,9,1,2,2,4
"BMEL",86,54,20,6,15,13,1,0,0,1,4,4,0,0,3,1,1,1,1,0,1,0,0
"BMEL GB",62,61,34,20,1,6,25,7,12,6,9,1,0,0,1,0,1,0,0,0,0,0,0
"BMEL Gesamt",148,115,54,26,16,19,26,7,12,7,13,5,0,0,4,1,2,1,1,0,1,0,0
"BMVg",117,118,54,12,19,33,1,0,0,1,6,6,5,1,0,0,5,3,3,0,0,0,3
"BMVg GB",34,35,20,4,8,3,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"BMVg Gesamt",151,153,74,16,27,36,5,1,1,3,7,6,5,1,0,0,5,3,3,0,0,0,3
"BMFSFJ",92,88,36,8,15,29,4,2,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0
"BMFSFJ GB",22,20,15,2,3,0,3,0,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0
"BMFSFJ Gesamt",114,108,51,10,18,29,7,2,1,4,3,3,1,0,2,0,0,1,1,1,0,0,0
"BMG",167,169,28,11,3,127,5,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"BMG GB",148,123,60,11,2,50,14,0,4,10,5,4,0,1,3,0,3,4,2,0,0,0,2
"BMG Gesamt",315,292,88,22,5,177,19,2,4,13,8,4,0,1,3,0,3,4,2,0,0,0,2
"BMVI",180,182,12,11,6,153,2,0,0,2,5,8,2,0,5,1,4,1,0,0,0,0,0
"BMVI GB",1147,1134,178,755,80,121,10,4,1,5,814,10,1,0,6,3,1,4,2,1,0,1,0
"BMVI Gesamt",1327,1316,190,766,86,274,12,4,1,7,819,18,3,0,11,4,5,5,2,1,0,1,0
"BMUB",90,92,47,1,4,40,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"BMUB GB",42,40,25,6,3,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"BMUB Gesamt",132,132,72,7,7,46,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
"BMBF",52,70,31,4,3,32,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"BMBF GB",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"BMBF Gesamt",52,70,31,4,3,32,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0
"BKM",54,53,39,3,1,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BKM GB",10,10,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BKM Gesamt",64,65,42,5,5,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BMZ",87,74,19,5,6,44,4,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0
"BPA",67,67,23,0,3,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BPrA",52,52,12,3,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT  *3",1982,1623,81,10,74,1482,0,0,0,0,5,5,0,0,3,2,3,3,0,0,0,0,0
"BR",23,24,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBk",38,37,27,0,10,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0
"BVerfG",17,14,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BfDI  *2",116,94,61,2,4,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BRH",5,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
