Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr bis 50 - 100 €,Höhe der Gebühr bis > 100 €,Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung,Widerspruchsgebühren erhoben,Eingang Klagen,Klageerledigungen in 2022,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung
BK Amt,253,249,40,38,72,99,39,23,8,8,18,21,1,1,19,0,18,7,5,1,0,1,3
BK Amt GB,14,14,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Amt Gesamt,267,263,40,38,82,103,39,23,8,8,18,21,1,1,19,0,18,7,5,1,0,1,3
BMAS,105,99,33,7,16,43,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
BMAS GB,1119,1069,928,28,47,66,11,3,2,6,26,20,9,0,7,4,5,11,18,3,4,0,11
BMAS Gesamt,1224,1168,961,35,63,109,11,3,2,6,28,21,9,0,8,4,5,11,18,3,4,0,11
AA,520,498,90,100,63,245,93,55,22,16,14,16,2,4,8,2,8,1,5,0,0,2,3
AA GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Gesamt,520,498,90,100,63,245,93,55,22,16,14,16,2,4,8,2,8,1,5,0,0,2,3
BMI,499,489,161,29,67,232,8,0,1,7,16,15,1,2,11,1,11,3,3,0,0,1,2
BMI GB,750,710,254,82,93,281,4,1,0,3,14,11,2,0,9,0,4,2,2,0,1,0,1
BMI Gesamt,1249,1199,415,111,160,513,12,1,1,10,30,26,3,2,20,1,15,5,5,0,1,1,3
BMJ,223,210,51,30,27,102,8,1,1,6,6,4,0,3,1,0,2,4,2,0,0,1,1
BMJ GB,106,102,38,13,17,34,5,0,1,4,4,4,0,0,3,1,3,0,0,0,0,0,0
BMJ Gesamt,329,312,89,43,44,136,13,1,2,10,10,8,0,3,4,1,5,4,2,0,0,1,1
BMF,284,263,23,32,55,153,6,0,0,6,16,13,1,0,12,0,13,3,6,0,1,4,1
BMF GB,4628,4560,2844,305,301,1110,758,393,215,150,19,24,1,0,11,12,4,7,42,0,1,7,34
BMF Gesamt,4912,4823,2867,337,356,1263,764,393,215,156,35,37,2,0,23,12,17,10,48,0,2,11,35
BMWK,382,335,71,31,50,183,17,4,8,5,4,3,1,0,2,0,3,12,5,0,0,2,3
BMWK GB,1233,1217,497,57,120,543,8,2,2,4,4,2,0,0,2,0,2,2,7,0,0,7,0
