Ressort,Eingang Erstanträge,Erstantrag noch in Bearbeitung,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Vorschuss (0 - 50),Vorschuss (50 - 100),Vorschuss (100 -),Gebühr erhoben,Höhe der Gebühr (unter 50 ),Höhe der Gebühr (50 - 100 ),Höhe der Gebühr (> 100 ),Auslagen,Höhe der Auslagen (unter 50 ),Höhe der Auslagen (50 - 100 ),Höhe der Auslagen (> 100 ),Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (0 - 30),W- Gebühren erhoben (30 ),W- Gebühren erhoben (> 30 ),Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK GB,2,"","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
BK Gesamt,16,1,1,3,3,8,0,0,0,3,0,0,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BMAS,13,1,7,"",5,"","","","",1,"","",1,"","","","","","","","","","","","","","","","","","",""
BMAS GB,71,6,20,11,25,9,"","","",6,6,"","",7,3,2,2,15,4,"","",9,2,1,"","",5,5,"","","",""
BMAS Gesamt,84,7,27,11,30,9,0,0,0,7,6,0,1,7,3,2,2,15,4,0,0,9,2,1,0,0,5,5,0,0,0,0
AA,139,6,54,44,16,19,5,"","",16,14,2,"",3,2,1,"",16,2,1,"",13,"","",5,"",1,1,"","","",""
AA GB,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,139,6,54,44,16,19,5,0,0,16,14,2,0,3,2,1,0,16,2,1,0,13,0,0,5,0,1,1,0,0,0,0
BMI,44,2,19,9,7,7,"","","",4,"",1,3,2,1,"",1,5,2,"",2,1,"","",1,"","","","","","",""
BMI GB,45,2,10,3,11,19,"","",1,1,"","",1,1,"","",1,2,"","","",2,"","",1,"",1,1,"","","",""
BMI Gesamt,89,4,29,12,18,26,0,0,1,5,0,1,4,3,1,0,2,7,2,0,2,3,0,0,2,0,1,1,0,0,0,0
BMJ,35,4,23,"",7,1,"","","",4,2,1,1,"","","",1,4,2,1,"","",1,"","","","","","","","",""
BMJ GB,11,2,3,1,3,2,"","","","","","","","","","","",2,"","","",2,"","",2,"","","","","","",""
BMJ Gesamt,46,6,26,1,10,3,0,0,0,4,2,1,1,0,0,0,1,6,2,1,0,2,1,0,2,0,0,0,0,0,0,0
BMF,38,3,13,5,2,15,"","","",2,1,1,"","","","","","","","","","","","","","","","","","","",""
BMF GB,257,85,55,31,61,23,"","","",10,6,3,1,7,2,"",5,43,16,1,"",18,8,"","","",20,11,1,"",6,2
BMF Gesamt,295,88,68,36,63,38,0,0,0,12,7,4,1,7,"",0,5,43,16,1,0,18,8,0,0,0,20,11,1,0,6,2
BMWi,26,3,11,2,5,5,"","","",2,1,"",1,1,"","",1,"","","","","","","","","","","","","","",""
BMWi GB,71,1,39,15,7,9,1,"",1,10,3,3,4,3,1,2,"",5,"","","",5,"","",2,1,2,2,"","","",""
BMWi Gesamt,97,4,50,17,12,14,1,0,1,12,4,3,5,4,1,2,1,5,0,0,0,5,0,0,2,1,2,2,0,0,0,0
BMELV,13,1,6,5,1,"","","","",4,2,1,1,2,"",1,1,6,1,"","",5,"","",1,"",4,4,"","","",""
BMELV GB,58,8,36,1,5,8,"","","",11,4,5,2,5,2,1,2,4,1,"","",3,"","","","",2,2,"","","",""
BMELV Gesamt,71,9,42,6,6,8,0,0,0,15,6,6,3,7,2,2,3,10,2,0,0,8,0,0,1,0,6,6,0,0,0,0
BMVg,9,1,1,"",1,6,"","","",1,1,"","","","","","","","","","","","","","","","","","","","",""
BMVg GB,19,3,8,1,6,1,"","","",2,1,"",1,2,1,"",1,2,"","","",2,"","","",2,2,2,"","","",""
BMVg Gesamt,28,4,9,1,7,7,0,0,0,3,2,0,1,2,1,0,1,2,0,0,0,2,0,0,0,2,2,2,0,0,0,0
BMFSFJ,10,"",5,"",4,1,"","","","","","","","","","","",1,"",1,"","","","","","","","","","","",""
BMFSFJ GB,33,1,22,1,3,6,"","","",3,1,1,1,3,3,"","","","","","","","","","","","","","","","",""
BMFSFJ Gesamt,43,1,27,1,7,7,0,0,0,3,1,1,1,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BMG,15,"",8,2,2,3,"","","","","","","","","","","",2,1,"","",1,"","","","","","","","","",""
BMG GB,236,14,139,27,38,18,"","","",12,"",2,10,9,5,2,2,3,1,"","",2,"","","",2,"","","","","",""
BMG Gesamt,251,14,147,29,40,21,0,0,0,12,0,2,10,9,5,2,2,5,2,0,0,3,0,0,0,2,0,0,0,0,0,0
BMVBS,50,9,17,11,8,5,"","","",2,1,1,"",2,"",2,"",2,2,"","","","","","","","","","","","",""
BMVBS GB,121,9,84,5,4,19,7,"",1,15,8,4,3,10,5,2,3,3,1,1,"","",1,1,"","","","","","","",""
BMVBS Gesamt,171,18,101,16,12,24,7,0,1,17,9,5,3,12,5,4,3,5,3,1,0,0,1,1,0,0,0,0,0,0,0,0
BMU,3,"",2,"","",1,"","","","","","","","","","","","","","","","","","","","","","","","","",""
