Ressort,Eingang Erstanträge,Erstantrag noch in Bearbeitung,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Vorschuss (0 - 50),Vorschuss (50 - 100),Vorschuss (100 -),Gebühr erhoben,Höhe der Gebühr (unter 50 ),Höhe der Gebühr (50 - 100 ),Höhe der Gebühr (> 100 ),Auslagen,Höhe der Auslagen (unter 50 ),Höhe der Auslagen (50 - 100 ),Höhe der Auslagen (> 100 ),Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (0 - 30),W- Gebühren erhoben (30 ),W- Gebühren erhoben (> 30 ),Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK,26,"",8,6,9,3,"","","",2,2,"","",1,1,"","",3,1,"","",2,"","",1,"","","","","","",""
BK GB,1,"","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
BK Gesamt,27,0,8,6,10,3,0,0,0,2,2,0,0,1,1,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0
BMAS,12,3,2,1,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","",""
BMAS GB,69,3,44,5,13,4,"","","",1,"","",1,1,"","",1,1,"","","",1,"","","","","","","","","",""
BMAS Gesamt,81,6,46,6,17,6,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AA,88,4,39,17,16,12,"","","",24,21,1,2,5,2,1,2,16,3,1,4,8,"","","","",6,5,"","","",1
AA GB,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,88,4,39,17,16,12,0,0,0,24,21,1,2,5,2,1,2,16,3,1,4,8,0,0,0,0,6,5,0,0,0,1
BMI,47,1,20,11,13,2,"","","",3,"",1,2,2,"",1,1,11,4,"","",6,1,"","","",2,1,"","","",1
BMI GB,33,5,12,6,10,"","",1,"",4,1,1,2,1,"",1,"",8,3,"",1,4,"",1,1,"",4,3,"","",1,""
BMI Gesamt,80,6,32,17,23,2,0,1,0,7,1,2,4,3,0,2,1,19,7,0,1,10,1,1,1,0,6,4,0,0,1,1
BMJ,39,4,16,6,12,1,"","","",5,2,2,1,7,2,2,3,"","","","","","","","","","","","","","",""
BMJ GB,18,4,13,"",1,"","","","",1,"",1,"",1,"",1,"",1,"","","","",1,"","","","","","","","",""
BMJ Gesamt,57,8,29,6,13,1,0,0,0,6,2,3,1,8,2,3,3,1,"",0,0,0,1,0,0,0,0,0,0,0,0,0
BMF,31,"",10,2,19,"","","","",2,"",1,1,2,"","",2,3,3,"","","","","","","",2,1,"","","",1
BMF GB,104,8,41,15,36,4,"","","",11,3,4,4,13,2,4,7,15,5,1,"",9,"",1,7,1,8,6,"","","",2
BMF Gesamt,135,8,51,17,55,4,0,0,0,13,3,5,5,15,2,4,9,18,8,1,0,9,0,1,7,1,10,7,0,0,0,3
BMWi,25,4,9,3,8,1,"","","",1,"","",1,1,"","",1,1,"","","","",1,"","","","","","","","",""
BMWi GB,195,1,162,7,17,8,"","","",12,4,3,5,5,3,1,1,3,2,"","",1,"","","","","","","","","",""
BMWi Gesamt,220,5,171,10,25,9,0,0,0,13,4,3,6,6,3,1,2,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0
BMELV,10,1,3,1,4,1,"","","","","","","","","","","",1,"","","",1,"","","","",1,1,"","","",""
BMELV GB,43,2,30,1,8,2,"","","","","","","","","","","",3,3,"","","","","","","","","","","","",""
BMELV Gesamt,53,3,33,2,12,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,1,1,0,0,0,0
BMVg,38,24,5,4,5,"","","","",2,"",1,1,2,1,1,"",3,1,1,"",1,"",1,"","","","","","","",""
BMVg GB,11,2,4,2,2,1,"","","",4,2,"",2,4,1,2,1,1,"","","","",1,"","","",1,1,"","","",""
BMVg Gesamt,49,26,9,6,7,1,0,0,0,6,2,1,3,6,2,3,1,4,1,1,0,1,1,1,0,0,1,1,0,0,0,0
BMFSFJ,7,"",3,"",4,"","","","",2,1,1,"","","","","","","","","","","","","","","","","","","",""
BMFSFJ GB,5,1,3,"",1,"","","","","","","","","","","","",1,1,"","","","","","","","","","","","",""
BMFSFJ Gesamt,12,1,6,0,5,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMG,13,1,8,2,2,"","","","",6,4,"",2,8,4,2,2,1,"","","",1,"","","","","","","","","",""
BMG GB,243,36,140,13,30,24,"","","",9,1,1,7,8,4,3,1,4,3,"","",1,"","","","",1,1,"","","",""
BMG Gesamt,256,37,148,15,32,24,0,0,0,15,5,1,9,16,8,5,3,5,3,0,0,2,0,0,0,0,1,1,0,0,0,0
BMVBS,30,4,4,7,10,5,"","","",4,"",1,3,4,2,1,1,8,3,1,2,2,"","",3,"",3,2,"",1,"",""
BMVBS GB,137,8,90,12,12,15,"","","",12,4,1,7,1,1,"","",8,2,"","",6,"",1,1,"",1,1,"","","",""
BMVBS Gesamt,167,12,94,19,22,20,0,0,0,16,4,2,10,5,3,1,1,16,5,1,2,8,0,1,4,0,4,3,0,1,0,0
BMU,2,"","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
BMU GB,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
BMU Gesamt,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF,10,2,3,"",5,"","","","",2,"",1,1,3,1,1,1,2,1,"","",1,"","","","","","","","","",""
BMBF GB,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
BMBF Gesamt,10,2,3,0,5,0,0,0,0,2,0,1,1,3,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
BMZ***,12,2,5,2,1,2,"","","","","","","","","","","","","","","","","","","","","","","","","",""
