Ressort,Anträge in Bearbeitung zum Jahresbeginn,Eingang Erstanträge,Erstantrag noch in Bearbeitung,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Vorschuss,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr (50 - 100 €),Höhe der Gebühr (> 100 €),Auslagen,Widersprüche in Bearbeitung zum Jahresbeginn,Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (0 - 30€),W- Gebühren erhoben (> 30 €),anhängige Klagen zum Jahresbeginn,Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK,1,30,4,5,3,7,12,"",4,"",1,3,3,"",3,"",1,"",2,"",2,"","",5,4,"","",1,""
BK GB,"",1,"","","",1,"","","","","","","","","","","","","","","","","","","","","","",""
BK Gesamt,1,31,4,5,3,8,12,0,4,0,1,3,3,0,3,0,1,0,2,0,2,0,0,5,4,0,0,1,0
BMAS,1,9,1,3,"",6,"","",1,"","",1,1,"",3,1,"",1,1,"",2,"",1,2,2,"","",1,""
BMAS GB,47,151,30,87,17,49,15,22,22,"","",22,"",20,17,2,"","",22,13,"","",12,13,7,1,"",8,9
BMAS Gesamt,48,160,31,90,17,55,15,22,23,0,0,23,1,20,20,3,0,1,23,13,2,0,13,15,9,1,0,9,9
AA,6,158,16,69,33,21,25,1,31,21,6,4,1,2,27,5,"",11,11,2,15,2,7,7,8,"","","",6
AA GB,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,6,158,16,69,33,21,25,1,31,21,6,4,1,2,27,5,0,11,11,2,15,2,7,7,8,0,0,0,6
BMI,3,42,2,21,8,7,7,"",8,4,"",4,4,1,6,1,1,1,4,"",2,"",1,"",1,"","","",""
BMI GB,15,56,3,25,4,8,31,"",2,1,"",1,1,1,4,3,1,"",1,"","","",4,1,4,"","","",1
BMI Gesamt,18,98,5,46,12,15,38,0,10,5,0,5,5,2,10,4,2,1,5,0,2,0,5,1,5,0,0,0,1
BMJ,4,59,6,31,2,19,5,"",3,2,"",1,2,2,4,2,"","",4,"",4,"",3,1,4,"","","",""
BMJ GB,2,25,"",14,4,7,2,"",2,2,"","",7,1,2,1,"","",2,"",2,"","",1,1,"","","",""
