Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 ),Höhe der Gebühr (50 - 100 ),Höhe der Gebühr (> 100 ),Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (> 30 ),Eingang Klagen ,Klageerledigungen ,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK Amt,314,297,70,62,55,110,34,22,7,5,15,12,0,5,5,2,5,3,3,1,0,1,1
BK Amt GB,19,19,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK Amt Gesamt,333,316,70,62,70,114,34,22,7,5,15,12,0,5,5,2,5,3,3,1,0,1,1
BMAS,93,91,27,8,16,40,0,0,0,0,3,3,1,0,2,0,2,0,0,0,0,0,0
BMAS GB ,1597,1549,1372,36,67,74,17,5,1,11,32,19,0,1,14,4,7,6,4,0,0,1,3
BMAS Gesamt,1690,1640,1399,44,83,114,17,5,1,11,35,22,1,1,16,4,9,6,4,0,0,1,3
AA,872,732,122,70,76,464,74,49,17,8,33,10,1,3,6,0,7,2,0,0,0,0,0
AA GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Gesamt,872,732,122,70,76,464,74,49,17,8,33,10,1,3,6,0,7,2,0,0,0,0,0
BMI,541,540,213,33,99,195,11,0,1,10,23,20,3,1,15,1,16,5,3,0,0,2,1
BMI GB,807,797,314,98,168,217,8,1,5,2,23,20,2,1,16,1,6,7,6,0,0,3,3
BMI Gesamt,1348,1337,527,131,267,412,19,1,6,12,46,40,5,2,31,2,22,12,9,0,0,5,4
BMJV,215,212,58,32,27,95,16,8,2,6,10,8,1,2,5,0,6,4,1,0,0,0,1
BMJV GB,310,326,247,9,18,52,7,1,3,3,8,9,0,1,4,4,5,3,0,0,0,0,0
BMJV Gesamt,525,538,305,41,45,147,23,9,5,9,18,17,1,3,9,4,11,7,1,0,0,0,1
BMF,277,271,20,23,113,115,5,1,1,3,4,10,1,0,8,1,2,1,1,0,0,0,1
BMF GB  ,4109,3993,3135,65,103,690,942,416,309,217,22,13,4,0,8,1,5,6,10,2,0,1,7
BMF Gesamt,4386,4264,3155,88,216,805,947,417,310,220,26,23,5,0,16,2,7,7,11,2,0,1,8
BMWi,253,239,71,22,47,99,18,6,3,9,7,6,0,0,6,0,5,0,1,1,0,0,0
BMWi GB,880,868,307,60,103,398,47,12,5,30,19,8,0,4,4,0,2,4,2,0,1,1,0
BMWi Gesamt,1133,1107,378,82,150,497,65,18,8,39,26,14,0,4,10,0,7,4,3,1,1,1,0
BMEL,105,102,29,18,14,41,4,0,0,4,3,5,0,1,3,1,2,1,1,0,0,0,1
BMEL GB,59,67,31,13,7,16,1,0,0,1,2,2,1,0,1,0,1,1,1,0,0,0,1
BMEL Gesamt,164,169,60,31,21,57,5,0,0,5,5,7,1,1,4,1,3,2,2,0,0,0,2
BMVg,263,252,120,20,22,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BMVg GB,90,89,40,5,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMVg Gesamt,353,341,160,25,30,126,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BMFSFJ,139,136,52,13,26,45,1,0,1,0,5,8,2,0,6,0,0,0,0,0,0,0,0
BMFSFJ GB,38,38,31,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMFSFJ Gesamt,177,174,83,14,30,47,2,0,2,0,5,8,2,0,6,,0,0,0,0,0,0,0
BMG,489,356,117,16,31,192,11,1,1,9,11,3,0,1,2,0,3,1,1,0,0,1,0
BMG GB,492,379,129,33,50,167,22,4,1,17,7,3,0,0,3,0,2,2,0,0,0,0,0
BMG Gesamt,981,735,246,49,81,359,33,5,2,26,18,6,0,1,5,0,5,3,1,0,0,1,0
BMVI,219,177,70,23,32,52,4,2,0,2,11,7,0,1,6,0,4,3,0,0,0,0,0
BMVI GB,266,309,207,31,28,43,11,0,2,9,36,15,1,2,10,2,3,4,0,0,0,0,0
BMVI Gesamt,485,486,277,54,60,95,15,2,2,11,47,22,1,3,16,2,7,7,0,0,0,0,0
BMU,38,40,30,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
