Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr (50 - 100 €),Höhe der Gebühr (> 100 €),Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (> 30 €),Eingang Klagen,Klageerledigungen ,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BK Amt,100,101,17,25,16,43,19,3,4,12,15,9,"",5,4,"",7,6,4,1,1,1,1
BK Amt GB,18,18,"","",18,"","","","","",1,1,"","",1,"","","","","","","",""
BK Amt Gesamt,118,119,17,25,34,43,19,3,4,12,16,10,"",5,5,"",7,6,4,1,1,1,1
BMAS,74,69,30,4,19,16,8,1,2,5,5,5,1,"",2,2,2,2,"","","","",""
BMAS GB,540,521,416,15,38,52,9,4,2,3,15,60,48,"",11,1,7,8,1,"","",1,""
BMAS Gesamt,614,590,446,19,57,68,17,5,4,8,20,65,49,"",13,3,9,10,1,"","",1,""
AA,206,192,77,33,21,61,33,25,4,4,13,13,"","",11,2,6,10,3,"","","",3
AA GB,"","","","","","","","","","","","","","","","","","","","","","",""
AA Gesamt,206,192,77,33,21,61,33,25,4,4,13,13,"","",11,2,6,10,3,"","","",3
BMI,274,273,52,104,14,103,7,"",1,6,5,3,1,1,1,"",2,4,8,5,"",1,2
BMI GB,167,170,64,29,37,40,6,1,1,4,8,6,"",1,4,1,3,1,"","","","",""
BMI Gesamt,441,443,116,133,51,143,13,1,2,10,13,9,1,2,5,1,5,5,8,5,"",1,2
BMJV,75,72,25,4,8,35,6,1,4,1,5,5,"",2,3,"",5,1,1,"","","",1
BMJV GB,48,56,18,19,1,18,6,2,2,2,6,3,1,"",1,1,1,"",2,"","",1,1
BMJV Gesamt,123,128,43,23,9,53,12,3,6,3,11,8,1,2,4,1,6,1,3,"","",1,2
BMF,1953,2351,639,1186,20,676,31,"",24,7,942,39,1,"",38,"",37,"","","","","",""
BMF GB,3238,2996,979,1665,86,371,494,198,168,128,1238,1158,4,1,1146,55,1137,464,35,"",1,"",34
BMF Gesamt,5191,5347,1618,2851,106,1047,525,198,192,135,2180,1197,5,1,1184,55,1174,464,35,"",1,"",34
BMWi,80,76,26,13,31,6,4,1,1,2,7,2,"",1,1,"",2,2,"","","","",""
BMWi GB,769,745,359,56,187,143,60,47,3,10,4,4,"","",3,1,3,2,1,"","","",1
BMWi Gesamt,849,821,385,69,218,149,64,48,4,12,11,6,"",1,4,1,5,4,1,"","","",1
BMEL,9,9,5,2,"",2,"","","","",1,1,"","",1,"",1,"","","","","",""
BMEL GB,64,71,64,2,4,1,46,9,9,28,3,1,"","","",1,"",1,"","","","",""
BMEL Gesamt,73,80,69,4,4,3,46,9,9,28,4,2,"","",1,1,1,1,"","","","",""
BMVg,70,67,38,6,11,12,3,2,"",1,6,5,2,"",3,"",1,"","","","","",""
BMVg GB,21,21,10,3,4,4,2,2,"","",1,"","","","","","","","","","","",""
BMVg Gesamt,91,88,48,9,15,16,5,4,"",1,7,5,2,"",3,"",1,"","","","","",""
BMFSFJ,16,18,8,5,1,4,2,1,"",1,1,1,"",1,"","","","",1,"",1,"",""
BMFSFJ GB,29,23,11,3,4,5,"","","","",2,1,"","",1,"","",1,2,"","","",2
BMFSFJ Gesamt,45,41,19,8,5,9,2,1,"",1,3,2,"",1,1,"","",1,3,"",1,"",2
BMG,22,19,9,3,2,5,"","","","","",1,1,"","","","","","","","","",""
BMG GB,136,129,81,14,2,32,26,"","",26,3,7,"",1,6,"",1,6,4,"",1,1,2
BMG Gesamt,158,148,90,17,4,37,26,"","",26,3,8,1,1,6,"",1,6,4,"",1,1,2
BMVI,35,35,8,16,4,7,2,"",1,1,3,4,2,"",1,1,1,"",2,"","","",2
BMVI GB,169,168,118,14,12,24,19,5,2,12,9,7,5,"",1,1,2,1,"","","","",""
BMVI Gesamt,204,203,126,30,16,31,21,5,3,13,12,11,7,"",2,2,3,1,2,"","","",2
BMUB,15,15,8,"",1,6,"","","","","","","","","","","","","","","","",""
BMUB GB,26,26,19,3,1,3,1,"",1,"",3,2,"","",2,"","","","","","","",""
BMUB Gesamt,41,41,27,3,2,9,1,"",1,"",3,2,"","",2,"","","","","","","",""
BMBF,26,23,5,"",9,9,7,3,2,2,3,5,1,2,1,1,2,"","","","","",""
BMBF GB,1,1,"","","",1,"","","","","","","","","","","","","","","","",""
BMBF Gesamt,27,24,5,"",9,10,7,3,2,2,3,5,1,2,1,1,2,"","","","","",""
BKM,22,22,7,1,1,13,2,"",2,"","","","","","","","","","","","","",""
BKM GB,13,15,4,5,1,5,3,3,"","",2,"","","","","","","","","","","",""
BKM Gesamt,35,37,11,6,2,18,5,3,2,"",2,"","","","","","","","","","","",""
BMZ***,19,14,13,"",1,"",2,1,"",1,1,"","","","","","","","","","","",""
BPA***,40,35,25,"",3,7,1,"","",1,"","","","","","","","","","","","",""
BPrA***,126,126,16,13,61,36,"","","","","","","","","","","","","","","","",""
BT***,218,174,30,35,91,18,1,"","",1,10,7,"","",5,2,4,5,2,"",1,1,""
BR***,9,10,7,1,1,1,"","","","","","","","","","","","","","","","",""
BBk***,10,9,6,1,2,"","","","","","","","","","","","","","","","","",""
BfDI***,30,29,22,"",6,1,"","","","","","","","","","","","","","","","",""
BRH,5,4,2,"","",2,"","","","","","","","","","","","","","","","",""
